# Force coefficients
# dragDir       : (9.97564083e-01 -6.97560058e-02 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (6.97560058e-02 9.97564083e-01 0.00000000e+00)
# rollAxis      : (9.97564083e-01 -6.97560058e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (6.97560058e-02 9.97564083e-01 0.00000000e+00)
# magUInf       : 3.40300000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
225             	2.93302259e-02	-4.39854526e-21	-8.67010756e-01	4.33505378e-02	7.45866448e-02	1.46651129e-03	5.80156508e-02	-2.86854249e-02	1.46651129e-03	-1.46651129e-03	-3.58918733e-01	-5.08092023e-01
226             	2.93063798e-02	-4.39403870e-21	-8.66813694e-01	4.33406847e-02	7.44880078e-02	1.46531899e-03	5.79938746e-02	-2.86874948e-02	1.46531899e-03	-1.46531899e-03	-3.58918839e-01	-5.07894855e-01
227             	2.92852283e-02	-4.38978225e-21	-8.66635165e-01	4.33317582e-02	7.43960287e-02	1.46426141e-03	5.79743724e-02	-2.86891441e-02	1.46426141e-03	-1.46426141e-03	-3.58921554e-01	-5.07713611e-01
228             	2.92666771e-02	-4.38576746e-21	-8.66474910e-01	4.33237455e-02	7.43104242e-02	1.46333386e-03	5.79570841e-02	-2.86904069e-02	1.46333386e-03	-1.46333386e-03	-3.58927031e-01	-5.07547879e-01
229             	2.92507904e-02	-4.38200334e-21	-8.66333760e-01	4.33166880e-02	7.42315420e-02	1.46253952e-03	5.79420832e-02	-2.86912928e-02	1.46253952e-03	-1.46253952e-03	-3.58935338e-01	-5.07398422e-01
230             	2.92374112e-02	-4.37847397e-21	-8.66210933e-01	4.33105467e-02	7.41589410e-02	1.46187056e-03	5.79292523e-02	-2.86918411e-02	1.46187056e-03	-1.46187056e-03	-3.58946526e-01	-5.07264408e-01
231             	2.92262024e-02	-4.37515817e-21	-8.66104926e-01	4.33052463e-02	7.40918625e-02	1.46131012e-03	5.79183475e-02	-2.86921451e-02	1.46131012e-03	-1.46131012e-03	-3.58960600e-01	-5.07144325e-01
232             	2.92170811e-02	-4.37205885e-21	-8.66015885e-01	4.33007942e-02	7.40302277e-02	1.46085405e-03	5.79093348e-02	-2.86922537e-02	1.46085405e-03	-1.46085405e-03	-3.58977715e-01	-5.07038170e-01
233             	2.92099850e-02	-4.36918153e-21	-8.65944140e-01	4.32972070e-02	7.39740700e-02	1.46049925e-03	5.79021995e-02	-2.86922145e-02	1.46049925e-03	-1.46049925e-03	-3.58998000e-01	-5.06946140e-01
234             	2.92047623e-02	-4.36651877e-21	-8.65889379e-01	4.32944690e-02	7.39230718e-02	1.46023812e-03	5.78968501e-02	-2.86920878e-02	1.46023812e-03	-1.46023812e-03	-3.59021618e-01	-5.06867762e-01
235             	2.92014756e-02	-4.36408309e-21	-8.65852130e-01	4.32926065e-02	7.38775248e-02	1.46007378e-03	5.78933443e-02	-2.86918687e-02	1.46007378e-03	-1.46007378e-03	-3.59048540e-01	-5.06803590e-01
236             	2.92000460e-02	-4.36186305e-21	-8.65831942e-01	4.32915971e-02	7.38371361e-02	1.46000230e-03	5.78916201e-02	-2.86915741e-02	1.46000230e-03	-1.46000230e-03	-3.59078835e-01	-5.06753107e-01
237             	2.92003363e-02	-4.35984738e-21	-8.65828136e-01	4.32914068e-02	7.38014310e-02	1.46001682e-03	5.78915750e-02	-2.86912386e-02	1.46001682e-03	-1.46001682e-03	-3.59112637e-01	-5.06715499e-01
238             	2.92023055e-02	-4.35803281e-21	-8.65840547e-01	4.32920274e-02	7.37703558e-02	1.46011527e-03	5.78931801e-02	-2.86908746e-02	1.46011527e-03	-1.46011527e-03	-3.59149918e-01	-5.06690630e-01
239             	2.92058696e-02	-4.35641345e-21	-8.65869055e-01	4.32934528e-02	7.37437245e-02	1.46029348e-03	5.78963876e-02	-2.86905179e-02	1.46029348e-03	-1.46029348e-03	-3.59190803e-01	-5.06678252e-01
240             	2.92109422e-02	-4.35498560e-21	-8.65913545e-01	4.32956773e-02	7.37213737e-02	1.46054711e-03	5.79011483e-02	-2.86902062e-02	1.46054711e-03	-1.46054711e-03	-3.59235399e-01	-5.06678146e-01
241             	2.92174003e-02	-4.35374395e-21	-8.65973828e-01	4.32986914e-02	7.37031213e-02	1.46087002e-03	5.79073916e-02	-2.86899913e-02	1.46087002e-03	-1.46087002e-03	-3.59283793e-01	-5.06690035e-01
242             	2.92251408e-02	-4.35268720e-21	-8.66049971e-01	4.33024985e-02	7.36889245e-02	1.46125704e-03	5.79150689e-02	-2.86899281e-02	1.46125704e-03	-1.46125704e-03	-3.59336061e-01	-5.06713910e-01
243             	2.92340686e-02	-4.35180887e-21	-8.66141807e-01	4.33070904e-02	7.36786668e-02	1.46170343e-03	5.79241247e-02	-2.86900561e-02	1.46170343e-03	-1.46170343e-03	-3.59392237e-01	-5.06749571e-01
244             	2.92440225e-02	-4.35109959e-21	-8.66248624e-01	4.33124312e-02	7.36719587e-02	1.46220113e-03	5.79344425e-02	-2.86904199e-02	1.46220113e-03	-1.46220113e-03	-3.59452353e-01	-5.06796271e-01
245             	2.92547999e-02	-4.35055020e-21	-8.66369540e-01	4.33184770e-02	7.36684365e-02	1.46273999e-03	5.79458769e-02	-2.86910771e-02	1.46273999e-03	-1.46273999e-03	-3.59516334e-01	-5.06853207e-01
246             	2.92663514e-02	-4.35016310e-21	-8.66504644e-01	4.33252322e-02	7.36678486e-02	1.46331757e-03	5.79584079e-02	-2.86920565e-02	1.46331757e-03	-1.46331757e-03	-3.59584474e-01	-5.06920171e-01
247             	2.92786257e-02	-4.34993842e-21	-8.66653361e-01	4.33326681e-02	7.36700977e-02	1.46393129e-03	5.79719809e-02	-2.86933552e-02	1.46393129e-03	-1.46393129e-03	-3.59656583e-01	-5.06996778e-01
248             	2.92916425e-02	-4.34987241e-21	-8.66816044e-01	4.33408022e-02	7.36750810e-02	1.46458212e-03	5.79866234e-02	-2.86949809e-02	1.46458212e-03	-1.46458212e-03	-3.59732941e-01	-5.07083103e-01
249             	2.93053841e-02	-4.34997382e-21	-8.66992528e-01	4.33496264e-02	7.36827322e-02	1.46526921e-03	5.80023185e-02	-2.86969343e-02	1.46526921e-03	-1.46526921e-03	-3.59813532e-01	-5.07178996e-01
250             	2.93197138e-02	-4.35024349e-21	-8.67182374e-01	4.33591187e-02	7.36928396e-02	1.46598569e-03	5.80189756e-02	-2.86992618e-02	1.46598569e-03	-1.46598569e-03	-3.59898348e-01	-5.07284027e-01
251             	2.93343825e-02	-4.35067652e-21	-8.67384728e-01	4.33692364e-02	7.37049642e-02	1.46671913e-03	5.80364277e-02	-2.87020451e-02	1.46671913e-03	-1.46671913e-03	-3.59987400e-01	-5.07397328e-01
252             	2.93492099e-02	-4.35126699e-21	-8.67598964e-01	4.33799482e-02	7.37187996e-02	1.46746049e-03	5.80545531e-02	-2.87053432e-02	1.46746049e-03	-1.46746049e-03	-3.60080682e-01	-5.07518281e-01
253             	2.93640649e-02	-4.35201031e-21	-8.67824642e-01	4.33912321e-02	7.37341112e-02	1.46820325e-03	5.80732646e-02	-2.87091996e-02	1.46820325e-03	-1.46820325e-03	-3.60178210e-01	-5.07646432e-01
254             	2.93787582e-02	-4.35289775e-21	-8.68060630e-01	4.34030315e-02	7.37505326e-02	1.46893791e-03	5.80924106e-02	-2.87136524e-02	1.46893791e-03	-1.46893791e-03	-3.60279782e-01	-5.07780847e-01
255             	2.93932236e-02	-4.35392291e-21	-8.68307267e-01	4.34153633e-02	7.37678760e-02	1.46966118e-03	5.81119751e-02	-2.87187515e-02	1.46966118e-03	-1.46966118e-03	-3.60385757e-01	-5.07921509e-01
256             	2.94073253e-02	-4.35507883e-21	-8.68563370e-01	4.34281685e-02	7.37858897e-02	1.47036627e-03	5.81318312e-02	-2.87245058e-02	1.47036627e-03	-1.47036627e-03	-3.60495796e-01	-5.08067575e-01
257             	2.94210701e-02	-4.35637025e-21	-8.68829925e-01	4.34414962e-02	7.38046757e-02	1.47105350e-03	5.81520313e-02	-2.87309612e-02	1.47105350e-03	-1.47105350e-03	-3.60610287e-01	-5.08219638e-01
258             	2.94345038e-02	-4.35781510e-21	-8.69106590e-01	4.34553295e-02	7.38242541e-02	1.47172519e-03	5.81725814e-02	-2.87380776e-02	1.47172519e-03	-1.47172519e-03	-3.60729041e-01	-5.08377549e-01
259             	2.94475146e-02	-4.35940840e-21	-8.69392626e-01	4.34696313e-02	7.38443938e-02	1.47237573e-03	5.81933886e-02	-2.87458740e-02	1.47237573e-03	-1.47237573e-03	-3.60851919e-01	-5.08540707e-01
260             	2.94599129e-02	-4.36113926e-21	-8.69687018e-01	4.34843509e-02	7.38646451e-02	1.47299564e-03	5.82143073e-02	-2.87543945e-02	1.47299564e-03	-1.47299564e-03	-3.60978864e-01	-5.08708154e-01
261             	2.94715485e-02	-4.36299751e-21	-8.69988602e-01	4.34994301e-02	7.38847263e-02	1.47357742e-03	5.82352044e-02	-2.87636559e-02	1.47357742e-03	-1.47357742e-03	-3.61109575e-01	-5.08879028e-01
262             	2.94826142e-02	-4.36499774e-21	-8.70299228e-01	4.35149614e-02	7.39050137e-02	1.47413071e-03	5.82562685e-02	-2.87736543e-02	1.47413071e-03	-1.47413071e-03	-3.61244600e-01	-5.09054628e-01
263             	2.94931348e-02	-4.36714590e-21	-8.70617545e-01	4.35308772e-02	7.39253710e-02	1.47465674e-03	5.82774447e-02	-2.87843098e-02	1.47465674e-03	-1.47465674e-03	-3.61383401e-01	-5.09234143e-01
264             	2.95033299e-02	-4.36944501e-21	-8.70945498e-01	4.35472749e-02	7.39462937e-02	1.47516650e-03	5.82989399e-02	-2.87956100e-02	1.47516650e-03	-1.47516650e-03	-3.61526456e-01	-5.09419043e-01
265             	2.95127963e-02	-4.37186659e-21	-8.71281576e-01	4.35640788e-02	7.39672049e-02	1.47563981e-03	5.83204769e-02	-2.88076806e-02	1.47563981e-03	-1.47563981e-03	-3.61673583e-01	-5.09607993e-01
266             	2.95211641e-02	-4.37438454e-21	-8.71624226e-01	4.35812113e-02	7.39875633e-02	1.47605821e-03	5.83417934e-02	-2.88206292e-02	1.47605821e-03	-1.47605821e-03	-3.61824550e-01	-5.09799676e-01
267             	2.95282181e-02	-4.37697993e-21	-8.71972486e-01	4.35986243e-02	7.40070769e-02	1.47641090e-03	5.83627333e-02	-2.88345153e-02	1.47641090e-03	-1.47641090e-03	-3.61979166e-01	-5.09993320e-01
268             	2.95338370e-02	-4.37964000e-21	-8.72325990e-01	4.36162995e-02	7.40256008e-02	1.47669185e-03	5.83832180e-02	-2.88493810e-02	1.47669185e-03	-1.47669185e-03	-3.62137394e-01	-5.10188596e-01
269             	2.95380606e-02	-4.38235882e-21	-8.72684623e-01	4.36342312e-02	7.40431656e-02	1.47690303e-03	5.84032615e-02	-2.88652009e-02	1.47690303e-03	-1.47690303e-03	-3.62299146e-01	-5.10385477e-01
270             	2.95409889e-02	-4.38514048e-21	-8.73048135e-01	4.36524068e-02	7.40598481e-02	1.47704945e-03	5.84229012e-02	-2.88819123e-02	1.47704945e-03	-1.47704945e-03	-3.62464220e-01	-5.10583916e-01
271             	2.95426889e-02	-4.38798413e-21	-8.73416489e-01	4.36708245e-02	7.40757474e-02	1.47713445e-03	5.84421689e-02	-2.88994800e-02	1.47713445e-03	-1.47713445e-03	-3.62632497e-01	-5.10783992e-01
272             	2.95431971e-02	-4.39088250e-21	-8.73789816e-01	4.36894908e-02	7.40909720e-02	1.47715986e-03	5.84610894e-02	-2.89178922e-02	1.47715986e-03	-1.47715986e-03	-3.62803936e-01	-5.10985880e-01
273             	2.95425421e-02	-4.39382642e-21	-8.74168223e-01	4.37084112e-02	7.41056474e-02	1.47712711e-03	5.84796822e-02	-2.89371401e-02	1.47712711e-03	-1.47712711e-03	-3.62978464e-01	-5.11189759e-01
274             	2.95407073e-02	-4.39680384e-21	-8.74551565e-01	4.37275783e-02	7.41198131e-02	1.47703536e-03	5.84979319e-02	-2.89572246e-02	1.47703536e-03	-1.47703536e-03	-3.63155970e-01	-5.11395596e-01
275             	2.95376655e-02	-4.39980619e-21	-8.74939604e-01	4.37469802e-02	7.41334573e-02	1.47688327e-03	5.85158130e-02	-2.89781475e-02	1.47688327e-03	-1.47688327e-03	-3.63336345e-01	-5.11603259e-01
276             	2.95334050e-02	-4.40282705e-21	-8.75332067e-01	4.37666033e-02	7.41465899e-02	1.47667025e-03	5.85333058e-02	-2.89999009e-02	1.47667025e-03	-1.47667025e-03	-3.63519443e-01	-5.11812623e-01
277             	2.95279337e-02	-4.40586197e-21	-8.75728749e-01	4.37864375e-02	7.41592637e-02	1.47639669e-03	5.85504043e-02	-2.90224706e-02	1.47639669e-03	-1.47639669e-03	-3.63705111e-01	-5.12023638e-01
278             	2.95212307e-02	-4.40890619e-21	-8.76129361e-01	4.38064681e-02	7.41714719e-02	1.47606154e-03	5.85670834e-02	-2.90458527e-02	1.47606154e-03	-1.47606154e-03	-3.63893209e-01	-5.12236152e-01
279             	2.95132958e-02	-4.41195634e-21	-8.76533706e-01	4.38266853e-02	7.41832577e-02	1.47566479e-03	5.85833332e-02	-2.90700374e-02	1.47566479e-03	-1.47566479e-03	-3.64083595e-01	-5.12450111e-01
280             	2.95040440e-02	-4.41500363e-21	-8.76941014e-01	4.38470507e-02	7.41945196e-02	1.47520220e-03	5.85990727e-02	-2.90950287e-02	1.47520220e-03	-1.47520220e-03	-3.64275987e-01	-5.12665027e-01
281             	2.94934794e-02	-4.41804693e-21	-8.77351111e-01	4.38675555e-02	7.42052736e-02	1.47467397e-03	5.86142952e-02	-2.91208158e-02	1.47467397e-03	-1.47467397e-03	-3.64470282e-01	-5.12880829e-01
282             	2.94818026e-02	-4.42109631e-21	-8.77765058e-01	4.38882529e-02	7.42159336e-02	1.47409013e-03	5.86291542e-02	-2.91473516e-02	1.47409013e-03	-1.47409013e-03	-3.64666595e-01	-5.13098462e-01
283             	2.94691439e-02	-4.42415383e-21	-8.78182967e-01	4.39091483e-02	7.42267612e-02	1.47345719e-03	5.86437203e-02	-2.91745764e-02	1.47345719e-03	-1.47345719e-03	-3.64864722e-01	-5.13318245e-01
284             	2.94556073e-02	-4.42721922e-21	-8.78604620e-01	4.39302310e-02	7.42379346e-02	1.47278037e-03	5.86580346e-02	-2.92024273e-02	1.47278037e-03	-1.47278037e-03	-3.65064375e-01	-5.13540244e-01
285             	2.94411924e-02	-4.43028665e-21	-8.79029524e-01	4.39514762e-02	7.42494308e-02	1.47205962e-03	5.86720724e-02	-2.92308800e-02	1.47205962e-03	-1.47205962e-03	-3.65265331e-01	-5.13764193e-01
286             	2.94258591e-02	-4.43334884e-21	-8.79457512e-01	4.39728756e-02	7.42612948e-02	1.47129296e-03	5.86858052e-02	-2.92599461e-02	1.47129296e-03	-1.47129296e-03	-3.65467461e-01	-5.13990051e-01
287             	2.94095300e-02	-4.43639890e-21	-8.79888576e-01	4.39944288e-02	7.42734913e-02	1.47047650e-03	5.86991938e-02	-2.92896638e-02	1.47047650e-03	-1.47047650e-03	-3.65670797e-01	-5.14217779e-01
288             	2.93923716e-02	-4.43945187e-21	-8.80323242e-01	4.40161621e-02	7.42862424e-02	1.46961858e-03	5.87123479e-02	-2.93199763e-02	1.46961858e-03	-1.46961858e-03	-3.65875379e-01	-5.14447863e-01
289             	2.93743868e-02	-4.44250320e-21	-8.80761947e-01	4.40380974e-02	7.42995368e-02	1.46871934e-03	5.87252908e-02	-2.93509039e-02	1.46871934e-03	-1.46871934e-03	-3.66081437e-01	-5.14680510e-01
290             	2.93556447e-02	-4.44556021e-21	-8.81202802e-01	4.40601401e-02	7.43133004e-02	1.46778224e-03	5.87379625e-02	-2.93823177e-02	1.46778224e-03	-1.46778224e-03	-3.66288101e-01	-5.14914701e-01
291             	2.93361519e-02	-4.44861265e-21	-8.81645637e-01	4.40822818e-02	7.43274783e-02	1.46680760e-03	5.87503578e-02	-2.94142059e-02	1.46680760e-03	-1.46680760e-03	-3.66495340e-01	-5.15150297e-01
292             	2.93158756e-02	-4.45165977e-21	-8.82090927e-01	4.41045463e-02	7.43421139e-02	1.46579378e-03	5.87624841e-02	-2.94466085e-02	1.46579378e-03	-1.46579378e-03	-3.66703349e-01	-5.15387577e-01
293             	2.92950364e-02	-4.45471085e-21	-8.82537218e-01	4.41268609e-02	7.43575107e-02	1.46475182e-03	5.87743791e-02	-2.94793427e-02	1.46475182e-03	-1.46475182e-03	-3.66911098e-01	-5.15626120e-01
294             	2.92735958e-02	-4.45776757e-21	-8.82985971e-01	4.41492986e-02	7.43736739e-02	1.46367979e-03	5.87860965e-02	-2.95125007e-02	1.46367979e-03	-1.46367979e-03	-3.67119312e-01	-5.15866660e-01
295             	2.92515748e-02	-4.46082710e-21	-8.83437748e-01	4.41718874e-02	7.43906135e-02	1.46257874e-03	5.87976748e-02	-2.95461000e-02	1.46257874e-03	-1.46257874e-03	-3.67328260e-01	-5.16109487e-01
296             	2.92286939e-02	-4.46387188e-21	-8.83892419e-01	4.41946209e-02	7.44077861e-02	1.46143470e-03	5.88089679e-02	-2.95802740e-02	1.46143470e-03	-1.46143470e-03	-3.67538423e-01	-5.16353996e-01
297             	2.92052446e-02	-4.46690558e-21	-8.84347709e-01	4.42173855e-02	7.44255252e-02	1.46026223e-03	5.88200078e-02	-2.96147631e-02	1.46026223e-03	-1.46026223e-03	-3.67748329e-01	-5.16599380e-01
298             	2.91814875e-02	-4.46994965e-21	-8.84804796e-01	4.42402398e-02	7.44442985e-02	1.45907437e-03	5.88309835e-02	-2.96494961e-02	1.45907437e-03	-1.45907437e-03	-3.67958100e-01	-5.16846696e-01
299             	2.91575410e-02	-4.47301100e-21	-8.85264178e-01	4.42632089e-02	7.44642434e-02	1.45787705e-03	5.88419794e-02	-2.96844384e-02	1.45787705e-03	-1.45787705e-03	-3.68167846e-01	-5.17096333e-01
300             	2.91333137e-02	-4.47608528e-21	-8.85726082e-01	4.42863041e-02	7.44851364e-02	1.45666569e-03	5.88529609e-02	-2.97196472e-02	1.45666569e-03	-1.45666569e-03	-3.68377904e-01	-5.17348177e-01
301             	2.91089505e-02	-4.47918299e-21	-8.86189482e-01	4.43094741e-02	7.45071388e-02	1.45544753e-03	5.88639494e-02	-2.97549989e-02	1.45544753e-03	-1.45544753e-03	-3.68587602e-01	-5.17601880e-01
302             	2.90843298e-02	-4.48229895e-21	-8.86654841e-01	4.43327421e-02	7.45298853e-02	1.45421649e-03	5.88749070e-02	-2.97905772e-02	1.45421649e-03	-1.45421649e-03	-3.68797535e-01	-5.17857306e-01
303             	2.90595864e-02	-4.48543680e-21	-8.87121769e-01	4.43560884e-02	7.45535755e-02	1.45297932e-03	5.88858816e-02	-2.98262952e-02	1.45297932e-03	-1.45297932e-03	-3.69007309e-01	-5.18114460e-01
304             	2.90346857e-02	-4.48859698e-21	-8.87590081e-01	4.43795041e-02	7.45780938e-02	1.45173428e-03	5.88968469e-02	-2.98621612e-02	1.45173428e-03	-1.45173428e-03	-3.69216947e-01	-5.18373135e-01
305             	2.90098067e-02	-4.49178111e-21	-8.88059231e-01	4.44029616e-02	7.46036899e-02	1.45049033e-03	5.89078649e-02	-2.98980582e-02	1.45049033e-03	-1.45049033e-03	-3.69425926e-01	-5.18633306e-01
306             	2.89849889e-02	-4.49499587e-21	-8.88530085e-01	4.44265043e-02	7.46304312e-02	1.44924945e-03	5.89189987e-02	-2.99340098e-02	1.44924945e-03	-1.44924945e-03	-3.69634611e-01	-5.18895474e-01
307             	2.89602424e-02	-4.49824143e-21	-8.89002933e-01	4.44501466e-02	7.46583051e-02	1.44801212e-03	5.89302678e-02	-2.99700254e-02	1.44801212e-03	-1.44801212e-03	-3.69843161e-01	-5.19159771e-01
308             	2.89356280e-02	-4.50152264e-21	-8.89478299e-01	4.44739150e-02	7.46873336e-02	1.44678140e-03	5.89417290e-02	-3.00061010e-02	1.44678140e-03	-1.44678140e-03	-3.70051816e-01	-5.19426483e-01
309             	2.89112278e-02	-4.50484162e-21	-8.89955284e-01	4.44977642e-02	7.47175469e-02	1.44556139e-03	5.89533781e-02	-3.00421503e-02	1.44556139e-03	-1.44556139e-03	-3.70260095e-01	-5.19695189e-01
310             	2.88870252e-02	-4.50819654e-21	-8.90433198e-01	4.45216599e-02	7.47487447e-02	1.44435126e-03	5.89651725e-02	-3.00781473e-02	1.44435126e-03	-1.44435126e-03	-3.70467854e-01	-5.19965344e-01
311             	2.88630846e-02	-4.51159171e-21	-8.90912115e-01	4.45456058e-02	7.47809651e-02	1.44315423e-03	5.89771480e-02	-3.01140635e-02	1.44315423e-03	-1.44315423e-03	-3.70675092e-01	-5.20237023e-01
312             	2.88395027e-02	-4.51503608e-21	-8.91392449e-01	4.45696225e-02	7.48143369e-02	1.44197514e-03	5.89893738e-02	-3.01498711e-02	1.44197514e-03	-1.44197514e-03	-3.70881888e-01	-5.20510562e-01
313             	2.88164232e-02	-4.51854435e-21	-8.91875273e-01	4.45937637e-02	7.48492316e-02	1.44082116e-03	5.90019753e-02	-3.01855520e-02	1.44082116e-03	-1.44082116e-03	-3.71088405e-01	-5.20786868e-01
314             	2.87937988e-02	-4.52211391e-21	-8.92360666e-01	4.46180333e-02	7.48856480e-02	1.43968994e-03	5.90149327e-02	-3.02211339e-02	1.43968994e-03	-1.43968994e-03	-3.71294685e-01	-5.21065981e-01
315             	2.87715535e-02	-4.52573711e-21	-8.92848245e-01	4.46424122e-02	7.49234235e-02	1.43857767e-03	5.90281890e-02	-3.02566355e-02	1.43857767e-03	-1.43857767e-03	-3.71500699e-01	-5.21347546e-01
316             	2.87496013e-02	-4.52940200e-21	-8.93337047e-01	4.46668524e-02	7.49621967e-02	1.43748006e-03	5.90416530e-02	-3.02920517e-02	1.43748006e-03	-1.43748006e-03	-3.71706327e-01	-5.21630720e-01
317             	2.87279778e-02	-4.53311234e-21	-8.93826881e-01	4.46913440e-02	7.50018956e-02	1.43639889e-03	5.90553329e-02	-3.03273551e-02	1.43639889e-03	-1.43639889e-03	-3.71911545e-01	-5.21915336e-01
318             	2.87068488e-02	-4.53688554e-21	-8.94318600e-01	4.47159300e-02	7.50428712e-02	1.43534244e-03	5.90693544e-02	-3.03625056e-02	1.43534244e-03	-1.43534244e-03	-3.72116429e-01	-5.22202171e-01
319             	2.86863318e-02	-4.54073428e-21	-8.94813028e-01	4.47406514e-02	7.50854619e-02	1.43431659e-03	5.90838173e-02	-3.03974855e-02	1.43431659e-03	-1.43431659e-03	-3.72321052e-01	-5.22491976e-01
320             	2.86663687e-02	-4.54465560e-21	-8.95309853e-01	4.47654927e-02	7.51295248e-02	1.43331843e-03	5.90986770e-02	-3.04323083e-02	1.43331843e-03	-1.43331843e-03	-3.72525402e-01	-5.22784451e-01
321             	2.86469192e-02	-4.54864629e-21	-8.95808696e-01	4.47904348e-02	7.51748810e-02	1.43234596e-03	5.91138944e-02	-3.04669752e-02	1.43234596e-03	-1.43234596e-03	-3.72729467e-01	-5.23079229e-01
322             	2.86280498e-02	-4.55270268e-21	-8.96310004e-01	4.48155002e-02	7.52214628e-02	1.43140249e-03	5.91295251e-02	-3.05014753e-02	1.43140249e-03	-1.43140249e-03	-3.72933539e-01	-5.23376465e-01
323             	2.86095712e-02	-4.55682725e-21	-8.96811959e-01	4.48405980e-02	7.52690080e-02	1.43047856e-03	5.91453836e-02	-3.05358124e-02	1.43047856e-03	-1.43047856e-03	-3.73136972e-01	-5.23674988e-01
324             	2.85914898e-02	-4.56100910e-21	-8.97314544e-01	4.48657272e-02	7.53174193e-02	1.42957449e-03	5.91614721e-02	-3.05699823e-02	1.42957449e-03	-1.42957449e-03	-3.73339852e-01	-5.23974691e-01
325             	2.85738082e-02	-4.56525290e-21	-8.97818392e-01	4.48909196e-02	7.53666966e-02	1.42869041e-03	5.91778237e-02	-3.06040155e-02	1.42869041e-03	-1.42869041e-03	-3.73542499e-01	-5.24275893e-01
326             	2.85565530e-02	-4.56956123e-21	-8.98323687e-01	4.49161843e-02	7.54168980e-02	1.42782765e-03	5.91944609e-02	-3.06379078e-02	1.42782765e-03	-1.42782765e-03	-3.73744945e-01	-5.24578741e-01
327             	2.85397019e-02	-4.57393384e-21	-8.98830109e-01	4.49415054e-02	7.54679447e-02	1.42698509e-03	5.92113564e-02	-3.06716545e-02	1.42698509e-03	-1.42698509e-03	-3.73947110e-01	-5.24882999e-01
328             	2.85231703e-02	-4.57836505e-21	-8.99337020e-01	4.49668510e-02	7.55196079e-02	1.42615851e-03	5.92284361e-02	-3.07052659e-02	1.42615851e-03	-1.42615851e-03	-3.74148902e-01	-5.25188118e-01
329             	2.85070471e-02	-4.58286016e-21	-8.99844855e-01	4.49922427e-02	7.55720841e-02	1.42535235e-03	5.92457663e-02	-3.07387192e-02	1.42535235e-03	-1.42535235e-03	-3.74350343e-01	-5.25494511e-01
330             	2.84912945e-02	-4.58741659e-21	-9.00353481e-01	4.50176740e-02	7.56252960e-02	1.42456472e-03	5.92633213e-02	-3.07720268e-02	1.42456472e-03	-1.42456472e-03	-3.74551445e-01	-5.25802036e-01
331             	2.84758580e-02	-4.59203123e-21	-9.00862657e-01	4.50431329e-02	7.56791140e-02	1.42379290e-03	5.92810619e-02	-3.08052039e-02	1.42379290e-03	-1.42379290e-03	-3.74752215e-01	-5.26110443e-01
332             	2.84607130e-02	-4.59670217e-21	-9.01372254e-01	4.50686127e-02	7.57334717e-02	1.42303565e-03	5.92989692e-02	-3.08382562e-02	1.42303565e-03	-1.42303565e-03	-3.74952655e-01	-5.26419599e-01
333             	2.84458266e-02	-4.60142650e-21	-9.01882083e-01	4.50941041e-02	7.57882829e-02	1.42229133e-03	5.93170174e-02	-3.08711908e-02	1.42229133e-03	-1.42229133e-03	-3.75152759e-01	-5.26729324e-01
334             	2.84311738e-02	-4.60620070e-21	-9.02391878e-01	4.51195939e-02	7.58434466e-02	1.42155869e-03	5.93351808e-02	-3.09040070e-02	1.42155869e-03	-1.42155869e-03	-3.75352493e-01	-5.27039386e-01
335             	2.84167286e-02	-4.61102168e-21	-9.02901451e-01	4.51450726e-02	7.58988760e-02	1.42083643e-03	5.93534369e-02	-3.09367083e-02	1.42083643e-03	-1.42083643e-03	-3.75551850e-01	-5.27349602e-01
336             	2.84024606e-02	-4.61588709e-21	-9.03410701e-01	4.51705351e-02	7.59545203e-02	1.42012303e-03	5.93717653e-02	-3.09693048e-02	1.42012303e-03	-1.42012303e-03	-3.75750830e-01	-5.27659871e-01
337             	2.83883322e-02	-4.62079424e-21	-9.03919506e-01	4.51959753e-02	7.60103353e-02	1.41941661e-03	5.93901414e-02	-3.10018092e-02	1.41941661e-03	-1.41941661e-03	-3.75949418e-01	-5.27970089e-01
338             	2.83742858e-02	-4.62573964e-21	-9.04427754e-01	4.52213877e-02	7.60662443e-02	1.41871429e-03	5.94085306e-02	-3.10342448e-02	1.41871429e-03	-1.41871429e-03	-3.76147633e-01	-5.28280121e-01
339             	2.83603212e-02	-4.63072405e-21	-9.04934879e-01	4.52467440e-02	7.61222134e-02	1.41801606e-03	5.94269046e-02	-3.10665834e-02	1.41801606e-03	-1.41801606e-03	-3.76345226e-01	-5.28589653e-01
340             	2.83464146e-02	-4.63574530e-21	-9.05441103e-01	4.52720551e-02	7.61782331e-02	1.41732073e-03	5.94452624e-02	-3.10988478e-02	1.41732073e-03	-1.41732073e-03	-3.76542318e-01	-5.28898784e-01
