# Force coefficients
# dragDir       : (9.97564083e-01 -6.97560058e-02 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (6.97560058e-02 9.97564083e-01 0.00000000e+00)
# rollAxis      : (9.97564083e-01 -6.97560058e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (6.97560058e-02 9.97564083e-01 0.00000000e+00)
# magUInf       : 3.40300000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
202             	3.06863681e-02	-4.56165448e-21	-8.76214985e-01	4.38107492e-02	7.87069307e-02	1.53431840e-03	5.91539333e-02	-2.84675652e-02	1.53431840e-03	-1.53431840e-03	-3.59400562e-01	-5.16814423e-01
203             	3.05934528e-02	-4.55243770e-21	-8.75650987e-01	4.37825494e-02	7.84560585e-02	1.52967264e-03	5.90792757e-02	-2.84858230e-02	1.52967264e-03	-1.52967264e-03	-3.59369435e-01	-5.16281552e-01
204             	3.05034436e-02	-4.54338770e-21	-8.75098415e-01	4.37549208e-02	7.82107522e-02	1.52517218e-03	5.90066425e-02	-2.85031990e-02	1.52517218e-03	-1.52517218e-03	-3.59338455e-01	-5.15759960e-01
205             	3.04163599e-02	-4.53450655e-21	-8.74557701e-01	4.37278851e-02	7.79710831e-02	1.52081800e-03	5.89360650e-02	-2.85197051e-02	1.52081800e-03	-1.52081800e-03	-3.59307768e-01	-5.15249934e-01
206             	3.03323315e-02	-4.52579995e-21	-8.74029765e-01	4.37014883e-02	7.77373861e-02	1.51661657e-03	5.88676540e-02	-2.85353225e-02	1.51661657e-03	-1.51661657e-03	-3.59277496e-01	-5.14752269e-01
207             	3.02515135e-02	-4.51728033e-21	-8.73515803e-01	4.36757901e-02	7.75101778e-02	1.51257567e-03	5.88015469e-02	-2.85500334e-02	1.51257567e-03	-1.51257567e-03	-3.59247724e-01	-5.14268079e-01
208             	3.01738885e-02	-4.50894762e-21	-8.73016049e-01	4.36508024e-02	7.72895332e-02	1.50869443e-03	5.87377467e-02	-2.85638582e-02	1.50869443e-03	-1.50869443e-03	-3.59218491e-01	-5.13797557e-01
209             	3.00994937e-02	-4.50080698e-21	-8.72531010e-01	4.36265505e-02	7.70755934e-02	1.50497469e-03	5.86762974e-02	-2.85768036e-02	1.50497469e-03	-1.50497469e-03	-3.59189912e-01	-5.13341098e-01
210             	3.00280654e-02	-4.49282575e-21	-8.72059358e-01	4.36029679e-02	7.68676575e-02	1.50140327e-03	5.86170006e-02	-2.85889352e-02	1.50140327e-03	-1.50140327e-03	-3.59162022e-01	-5.12897337e-01
211             	2.99600861e-02	-4.48507242e-21	-8.71605121e-01	4.35802560e-02	7.66673344e-02	1.49800431e-03	5.85602991e-02	-2.86002130e-02	1.49800431e-03	-1.49800431e-03	-3.59135226e-01	-5.12469895e-01
212             	2.98952605e-02	-4.47750963e-21	-8.71166818e-01	4.35583409e-02	7.64739323e-02	1.49476303e-03	5.85059711e-02	-2.86107106e-02	1.49476303e-03	-1.49476303e-03	-3.59109477e-01	-5.12057341e-01
213             	2.98335150e-02	-4.47013283e-21	-8.70744033e-01	4.35372016e-02	7.62872064e-02	1.49167575e-03	5.84539591e-02	-2.86204442e-02	1.49167575e-03	-1.49167575e-03	-3.59084810e-01	-5.11659223e-01
214             	2.97748964e-02	-4.46295283e-21	-8.70337163e-01	4.35168582e-02	7.61072257e-02	1.48874482e-03	5.84043064e-02	-2.86294100e-02	1.48874482e-03	-1.48874482e-03	-3.59061356e-01	-5.11275807e-01
215             	2.97194611e-02	-4.45598159e-21	-8.69946913e-01	4.34973456e-02	7.59342060e-02	1.48597305e-03	5.83570762e-02	-2.86376151e-02	1.48597305e-03	-1.48597305e-03	-3.59039250e-01	-5.10907662e-01
216             	2.96672468e-02	-4.44922723e-21	-8.69574091e-01	4.34787045e-02	7.57684322e-02	1.48336234e-03	5.83123280e-02	-2.86450811e-02	1.48336234e-03	-1.48336234e-03	-3.59018613e-01	-5.10555478e-01
217             	2.96181508e-02	-4.44268940e-21	-8.69218784e-01	4.34609392e-02	7.56098099e-02	1.48090754e-03	5.82700146e-02	-2.86518638e-02	1.48090754e-03	-1.48090754e-03	-3.58999582e-01	-5.10219202e-01
218             	2.95720955e-02	-4.43637307e-21	-8.68881000e-01	4.34440500e-02	7.54581781e-02	1.47860477e-03	5.82300977e-02	-2.86580022e-02	1.47860477e-03	-1.47860477e-03	-3.58982322e-01	-5.09898678e-01
219             	2.95291170e-02	-4.43029566e-21	-8.68561476e-01	4.34280738e-02	7.53137898e-02	1.47645585e-03	5.81926323e-02	-2.86635153e-02	1.47645585e-03	-1.47645585e-03	-3.58966948e-01	-5.09594528e-01
220             	2.94890994e-02	-4.42444611e-21	-8.68259533e-01	4.34129766e-02	7.51761956e-02	1.47445497e-03	5.81575263e-02	-2.86684269e-02	1.47445497e-03	-1.47445497e-03	-3.58953571e-01	-5.09305962e-01
221             	2.94518984e-02	-4.41881224e-21	-8.67974776e-01	4.33987388e-02	7.50451564e-02	1.47259492e-03	5.81246880e-02	-2.86727896e-02	1.47259492e-03	-1.47259492e-03	-3.58942232e-01	-5.09032544e-01
222             	2.94172676e-02	-4.41338756e-21	-8.67706320e-01	4.33853160e-02	7.49202318e-02	1.47086338e-03	5.80939498e-02	-2.86766822e-02	1.47086338e-03	-1.47086338e-03	-3.58932928e-01	-5.08773392e-01
