Aleta_Punta_DobleCuna_tc2.82pct
1.000000 0.000000
0.999605 0.000011
0.998419 0.000045
0.996446 0.000100
0.993688 0.000178
0.990149 0.000278
0.985835 0.000400
0.980752 0.000543
0.974910 0.000708
0.968317 0.000894
0.960983 0.001100
0.952920 0.001328
0.944141 0.001576
0.934660 0.001843
0.924492 0.002130
0.913652 0.002435
0.902158 0.002760
0.890029 0.003102
0.877282 0.003461
0.863939 0.003838
0.850021 0.004230
0.835549 0.004638
0.820547 0.005061
0.805038 0.005499
0.789046 0.005950
0.772597 0.006414
0.755718 0.006890
0.738434 0.007378
0.720773 0.007876
0.702763 0.008384
0.684432 0.008901
0.665810 0.009426
0.646925 0.009959
0.627808 0.010498
0.608489 0.011043
0.588999 0.011592
0.569368 0.012146
0.549627 0.012703
0.529808 0.013262
0.509941 0.013822
0.500000 0.014103
0.490059 0.013822
0.470192 0.013262
0.450373 0.012703
0.430632 0.012146
0.411001 0.011592
0.391511 0.011043
0.372192 0.010498
0.353075 0.009959
0.334190 0.009426
0.315568 0.008901
0.297237 0.008384
0.279227 0.007876
0.261566 0.007378
0.244282 0.006890
0.227403 0.006414
0.210954 0.005950
0.194962 0.005499
0.179453 0.005061
0.164451 0.004638
0.149979 0.004230
0.136061 0.003838
0.122718 0.003461
0.109971 0.003102
0.097842 0.002760
0.086348 0.002435
0.075508 0.002130
0.065340 0.001843
0.055859 0.001576
0.047080 0.001328
0.039017 0.001100
0.031683 0.000894
0.025090 0.000708
0.019248 0.000543
0.014165 0.000400
0.009851 0.000278
0.006312 0.000178
0.003554 0.000100
0.001581 0.000045
0.000395 0.000011
0.000000 0.000000
0.000395 -0.000011
0.001581 -0.000045
0.003554 -0.000100
0.006312 -0.000178
0.009851 -0.000278
0.014165 -0.000400
0.019248 -0.000543
0.025090 -0.000708
0.031683 -0.000894
0.039017 -0.001100
0.047080 -0.001328
0.055859 -0.001576
0.065340 -0.001843
0.075508 -0.002130
0.086348 -0.002435
0.097842 -0.002760
0.109971 -0.003102
0.122718 -0.003461
0.136061 -0.003838
0.149979 -0.004230
0.164451 -0.004638
0.179453 -0.005061
0.194962 -0.005499
0.210954 -0.005950
0.227403 -0.006414
0.244282 -0.006890
0.261566 -0.007378
0.279227 -0.007876
0.297237 -0.008384
0.315568 -0.008901
0.334190 -0.009426
0.353075 -0.009959
0.372192 -0.010498
0.391511 -0.011043
0.411001 -0.011592
0.430632 -0.012146
0.450373 -0.012703
0.470192 -0.013262
0.490059 -0.013822
0.500000 -0.014103
0.509941 -0.013822
0.529808 -0.013262
0.549627 -0.012703
0.569368 -0.012146
0.588999 -0.011592
0.608489 -0.011043
0.627808 -0.010498
0.646925 -0.009959
0.665810 -0.009426
0.684432 -0.008901
0.702763 -0.008384
0.720773 -0.007876
0.738434 -0.007378
0.755718 -0.006890
0.772597 -0.006414
0.789046 -0.005950
0.805038 -0.005499
0.820547 -0.005061
0.835549 -0.004638
0.850021 -0.004230
0.863939 -0.003838
0.877282 -0.003461
0.890029 -0.003102
0.902158 -0.002760
0.913652 -0.002435
0.924492 -0.002130
0.934660 -0.001843
0.944141 -0.001576
0.952920 -0.001328
0.960983 -0.001100
0.968317 -0.000894
0.974910 -0.000708
0.980752 -0.000543
0.985835 -0.000400
0.990149 -0.000278
0.993688 -0.000178
0.996446 -0.000100
0.998419 -0.000045
0.999605 -0.000011
1.000000 -0.000000
