beta_deg,M_Mach0.4,Cm_Mach0.4,M_Mach0.5,Cm_Mach0.5,M_Mach0.6,Cm_Mach0.6
-10.5,-1.3876168553053263,-0.056001,-2.1700634268660184,-0.056001,-3.123667446973477,-0.056001
-10.25,-1.3559995786965229,-0.054725,-2.1206178645960403,-0.054725,-3.0524937239624923,-0.054725
-10.0,-1.3242831883679427,-0.053445,-2.0710173005634607,-0.053445,-2.9810968858323506,-0.053445
-9.75,-1.2924676843195855,-0.052161,-2.0212617347682786,-0.052161,-2.9094769325830523,-0.052161
-9.5,-1.2605282881215076,-0.050872,-1.9713124167698448,-0.050872,-2.8375780854348083,-0.050872
-9.25,-1.228514556633597,-0.04958,-1.9212468474494595,-0.04958,-2.765511901947197,-0.04958
-9.0,-1.1964264898558539,-0.048285,-1.8710650268071232,-0.048285,-2.693278382120218,-0.048285
-8.75,-1.1642145309283896,-0.046985,-1.820689453961534,-0.046985,-2.6207659683942928,-0.046985
-8.5,-1.131928236711093,-0.045682,-1.7701976297939939,-0.045682,-2.5480862183290007,-0.045682
-8.25,-1.0995676072039635,-0.044376,-1.719589554304502,-0.044376,-2.47523913192434,-0.044376
-8.0,-1.067107863977057,-0.043066,-1.6688264770524088,-0.043066,-2.402168930400524,-0.043066
-7.75,-1.0345737854603183,-0.041753,-1.6179471484783639,-0.041753,-2.3289313925373394,-0.041753
-7.5,-1.0019653716537467,-0.040437,-1.5669515685823678,-0.040437,-2.255526518334788,-0.040437
-7.25,-0.9692826225573428,-0.039118,-1.5158397373644203,-0.039118,-2.181954307792869,-0.039118
-7.0,-0.9365255381711062,-0.037796,-1.4646116548245216,-0.037796,-2.108214760911583,-0.037796
-6.75,-0.9036941184950368,-0.036471,-1.4132673209626712,-0.036471,-2.0343078776909285,-0.036471
-6.5,-0.8707883635291348,-0.035143,-1.36180673577887,-0.035143,-1.9602336581309063,-0.035143
-6.25,-0.8378330517033445,-0.033813,-1.3102686497137674,-0.033813,-1.8860478810113066,-0.033813
-6.0,-0.8048034045877216,-0.03248,-1.2586143123267135,-0.03248,-1.8116947675523387,-0.03248
-5.75,-0.7717242006122101,-0.031145,-1.2068824740583584,-0.031145,-1.7372300965337928,-0.031145
-5.5,-0.7385954397768104,-0.029808,-1.1550731349087031,-0.029808,-1.6626538679556686,-0.029808
-5.25,-0.7053923436515781,-0.028468,-1.103147544437096,-0.028468,-1.5879103030381767,-0.028468
-5.0,-0.6721396906664573,-0.027126,-1.051144453084188,-0.027126,-1.5130551805611068,-0.027126
-4.75,-0.6388374808214482,-0.025782,-0.9990638608499791,-0.025782,-1.4380885005244581,-0.025782
-4.5,-0.6054857141165506,-0.024436,-0.9469057677344696,-0.024436,-1.3630102629282312,-0.024436
-4.25,-0.5721091689817087,-0.023089,-0.8947089241783092,-0.023089,-1.287876246552215,-0.023089
-4.0,-0.5386582885570346,-0.021739,-0.8423958293001977,-0.021739,-1.212574893836832,-0.021739
-3.75,-0.5051826297024158,-0.020388,-0.7900439839814357,-0.020388,-1.137217762341659,-0.020388
-3.5,-0.47168219241785303,-0.019036,-0.7376533882220233,-0.019036,-1.0618048520666972,-0.019036
-3.25,-0.43813219827340183,-0.017682,-0.6851852915813099,-0.017682,-0.9862803842321569,-0.017682
-3.0,-0.40455742569900643,-0.016327,-0.6326784444999461,-0.016327,-0.9107001376178275,-0.016327
-2.75,-0.37093309626472265,-0.01497,-0.5800940965372815,-0.01497,-0.8350083334439198,-0.01497
-2.5,-0.3373087668304388,-0.013613,-0.5275097485746167,-0.013613,-0.7593165292700119,-0.013613
-2.25,-0.3036348805362666,-0.012254,-0.474847899730651,-0.012254,-0.6835131675365258,-0.012254
-2.0,-0.26996099424209435,-0.010895,-0.4221860508866854,-0.010895,-0.6077098058030398,-0.010895
-1.75,-0.23626232951797796,-0.009535,-0.36948545160206936,-0.009535,-0.5318506652897645,-0.009535
-1.5,-0.20253888636391737,-0.008174,-0.3167461018768028,-0.008174,-0.45593574599670006,-0.008174
-1.25,-0.16879066477991256,-0.006812,-0.26396800171088586,-0.006812,-0.3799650479238464,-0.006812
-1.0,-0.13504244319590772,-0.00545,-0.21118990154496883,-0.00545,-0.30399434985099283,-0.00545
-0.75,-0.10129422161190287,-0.004088,-0.15841180137905184,-0.004088,-0.22802365177813919,-0.004088
-0.5,-0.06752122159795386,-0.002725,-0.10559495077248442,-0.002725,-0.15199717492549641,-0.002725
-0.25,-0.03377300001394903,-0.001363,-0.05281685060656744,-0.001363,-0.07602647685264279,-0.001363
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.03377300001394903,0.001363,0.05281685060656744,0.001363,0.07602647685264279,0.001363
0.5,0.06752122159795386,0.002725,0.10559495077248442,0.002725,0.15199717492549641,0.002725
0.75,0.10129422161190287,0.004088,0.15841180137905184,0.004088,0.22802365177813919,0.004088
1.0,0.13504244319590772,0.00545,0.21118990154496883,0.00545,0.30399434985099283,0.00545
1.25,0.16876588634996834,0.006811,0.26392925127023537,0.006811,0.37990926914405726,0.006811
1.5,0.20248932950402895,0.008172,0.316668600995502,0.008172,0.45582418843712175,0.008172
1.75,0.23618799422814538,0.009532,0.369369200280118,0.009532,0.531683328950397,0.009532
2.0,0.26988665895226177,0.010892,0.42206979956473406,0.010892,0.6075424694636722,0.010892
2.25,0.303560545246434,0.012251,0.47473164840869964,0.012251,0.6833458311971582,0.012251
2.5,0.33718487468071784,0.013608,0.5273159963713644,0.013608,0.759037635371066,0.013608
2.75,0.3708092041150016,0.014965,0.579900344334029,0.014965,0.8347294395449737,0.014965
3.0,0.4043839766893971,0.01632,0.632407191415393,0.01632,0.9103096861593033,0.01632
3.25,0.43793397083384816,0.017674,0.6848752880561062,0.017674,0.9858341539938434,0.017674
3.5,0.4714591865483552,0.019027,0.7373046342561692,0.019027,1.0613028430485942,0.019027
3.75,0.5049348454029737,0.020378,0.7896564795749311,0.020378,1.1366599745437673,0.020378
