Aleta_Raiz_DobleCuna_tc2.56pct
1.000000 0.000000
0.999605 0.000010
0.998419 0.000041
0.996446 0.000091
0.993688 0.000162
0.990149 0.000253
0.985835 0.000363
0.980752 0.000494
0.974910 0.000643
0.968317 0.000812
0.960983 0.001000
0.952920 0.001207
0.944141 0.001432
0.934660 0.001675
0.924492 0.001936
0.913652 0.002214
0.902158 0.002509
0.890029 0.002820
0.877282 0.003147
0.863939 0.003489
0.850021 0.003846
0.835549 0.004217
0.820547 0.004601
0.805038 0.004999
0.789046 0.005409
0.772597 0.005831
0.755718 0.006264
0.738434 0.006707
0.720773 0.007160
0.702763 0.007621
0.684432 0.008091
0.665810 0.008569
0.646925 0.009053
0.627808 0.009543
0.608489 0.010039
0.588999 0.010538
0.569368 0.011042
0.549627 0.011548
0.529808 0.012056
0.509941 0.012566
0.500000 0.012821
0.490059 0.012566
0.470192 0.012056
0.450373 0.011548
0.430632 0.011042
0.411001 0.010538
0.391511 0.010039
0.372192 0.009543
0.353075 0.009053
0.334190 0.008569
0.315568 0.008091
0.297237 0.007621
0.279227 0.007160
0.261566 0.006707
0.244282 0.006264
0.227403 0.005831
0.210954 0.005409
0.194962 0.004999
0.179453 0.004601
0.164451 0.004217
0.149979 0.003846
0.136061 0.003489
0.122718 0.003147
0.109971 0.002820
0.097842 0.002509
0.086348 0.002214
0.075508 0.001936
0.065340 0.001675
0.055859 0.001432
0.047080 0.001207
0.039017 0.001000
0.031683 0.000812
0.025090 0.000643
0.019248 0.000494
0.014165 0.000363
0.009851 0.000253
0.006312 0.000162
0.003554 0.000091
0.001581 0.000041
0.000395 0.000010
0.000000 0.000000
0.000395 -0.000010
0.001581 -0.000041
0.003554 -0.000091
0.006312 -0.000162
0.009851 -0.000253
0.014165 -0.000363
0.019248 -0.000494
0.025090 -0.000643
0.031683 -0.000812
0.039017 -0.001000
0.047080 -0.001207
0.055859 -0.001432
0.065340 -0.001675
0.075508 -0.001936
0.086348 -0.002214
0.097842 -0.002509
0.109971 -0.002820
0.122718 -0.003147
0.136061 -0.003489
0.149979 -0.003846
0.164451 -0.004217
0.179453 -0.004601
0.194962 -0.004999
0.210954 -0.005409
0.227403 -0.005831
0.244282 -0.006264
0.261566 -0.006707
0.279227 -0.007160
0.297237 -0.007621
0.315568 -0.008091
0.334190 -0.008569
0.353075 -0.009053
0.372192 -0.009543
0.391511 -0.010039
0.411001 -0.010538
0.430632 -0.011042
0.450373 -0.011548
0.470192 -0.012056
0.490059 -0.012566
0.500000 -0.012821
0.509941 -0.012566
0.529808 -0.012056
0.549627 -0.011548
0.569368 -0.011042
0.588999 -0.010538
0.608489 -0.010039
0.627808 -0.009543
0.646925 -0.009053
0.665810 -0.008569
0.684432 -0.008091
0.702763 -0.007621
0.720773 -0.007160
0.738434 -0.006707
0.755718 -0.006264
0.772597 -0.005831
0.789046 -0.005409
0.805038 -0.004999
0.820547 -0.004601
0.835549 -0.004217
0.850021 -0.003846
0.863939 -0.003489
0.877282 -0.003147
0.890029 -0.002820
0.902158 -0.002509
0.913652 -0.002214
0.924492 -0.001936
0.934660 -0.001675
0.944141 -0.001432
0.952920 -0.001207
0.960983 -0.001000
0.968317 -0.000812
0.974910 -0.000643
0.980752 -0.000494
0.985835 -0.000363
0.990149 -0.000253
0.993688 -0.000162
0.996446 -0.000091
0.998419 -0.000041
0.999605 -0.000010
1.000000 -0.000000
